num,titulo_empleo,descripcion_empleo,etiquetas_empleo
145,"
Mentor - Software Engineering Career Track - Hiring Immediately
","We are hiring a remarkable Mentor - Software Engineering Career Track to join our vibrant team at AEROTEK in Teletrabajo.Growing your career as a Full Time Mentor - Software Engineering Career Track is a terrific opportunity to develop useful skills.If you are strong in leadership, project management and have the right mindset for the job, then apply for the position of Mentor - Software Engineering Career Track at AEROTEK today!  The Opportunity  Springboard runs an online Software Engineering Career Track Bootcamp in which participants learn with the help of a case-study-based curriculum and 1-1 guidance from an expert mentor.  Springboard has recently established some exciting partnerships that are set to kick off in the beginning of 2023 like our most recent partnership with Amazon! These partnerships are available for upskilling and reskilling, and offer customized, company-specific projects to provide employees with the most up-to-date skill sets to drive business impact through contextualized and company-specific learning.  We are currently focused on seeking Software Engineers with proficient skills in front end development for some upcoming launches. Don’t worry if that’s not your strongest, we are hiring across all of our Software Engineering courses.   We are looking for individuals that are passionate about mentoring as you are about Software Engineering, and can give a few hours per week in return for an honorarium, we would love to hear from you.  Questions? Please write to us at  Ver el correo electrónico en codingjobboard.com   The Program:  Completely online and self-paced  Students become proficient in Software Engineering with the help of a curated online curriculum and project-based deliverables  Coursework is made up of 800+ hour expert-curated curriculum in partnership with  Rithm School  Students are working professionals from all over the world, dedicated to switching careers into Software Engineering  Students have a weekly 30-minute checkin with their mentor to discuss questions, projects, and career advice! Students communicate with mentors outside of calls on an as-needed basis to support learning and career objectives   You:  Are as passionate about teaching coding as about software engineering itself  Are proficient in the topics covered in our  Software Engineering Career Track and are fluent in technologies such as HTML, CSS, JavaScript, React, Python, Flask, SQL, Data Structures and Algorithms  Experience in creating front-end Websites and Applications using JavaScript and React.js  Knowledge in best practices for creating Dynamic Websites  Have at least 3+ years of relevant work experience  Are available for weekly, 30-minute video check-ins for each student to help them set and achieve learning goals, provide feedback, and help them move towards getting a job  Are able to utilize Zoom for the 30-minute calls with students  Are available outside of weekly calls for each student to review projects and answer questions as needed  Have experience critiquing work, in particular giving meaningful feedback on web development, and are able to think on your feet quickly  Are empathetic and have excellent communication skills  Bonus points if you know American Sign Language (ASL)  Benefits:  Software Engineering mentors are paid an honorarium between $17.50-$32.50 per 30 minute call with students  Membership in a rich community of expert mentors from great companies like AirBnB, Uber, Google, and Pivotal  Change the lives of students in our program  Help us revolutionize online education and inspire the next generation of software engineers! Work at your convenience   We are an equal opportunity employer and value diversity at our company. We welcome applications from all backgrounds, and do not discriminate on the basis of race, religion, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Benefits of working as a Mentor - Software Engineering Career Track in Teletrabajo:● Excellent benefits● Company offers career progression opportunities● Attractive package",Aerotek
146,"
Work From Home Big Data Engineer Ref. 0099E - Start Now
","We are hiring a hardworking Work From Home Big Data Engineer Ref. 0099E to join our exceptional team at BairesDev SA in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Work From Home Big Data Engineer Ref. 0099E is an incredible opportunity to develop excellent skills.If you are strong in persuasion, leadership and have the right drive for the job, then apply for the position of Work From Home Big Data Engineer Ref. 0099E at BairesDev SA today!Who we are
BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1 of the best talents and nurture their professional growth on exciting projects.
Big Data Engineer at BairesDev
Big Data Engineers will face numerous businessimpacting challenges, so they must be ready to use state of the art technologies and be familiar with different IT domains such as Machine Learning, Data Analysis, Mobile, Web, IoT, etc. They are passionate, active members of our community who enjoy sharing knowledge, challenging, and being challenged by others and are truly committed to improving themselves and those around them.
What Youll Do
Work alongside Developers, Tech Leads, and Architects to build solutions that transform users experience.
Impact the core of business by improving existing architecture or creating new ones.
Create scalable and high availability solutions, contribute to the key differential of each client.
Heres what we are looking for
6 years of experience working as a Developer Ruby, Python, Java, JS, preferred.
5 years of experience in Big Data Comfortable with enterprises Big Data topics such as Governance, Metadata Management, Data Lineage, Impact Analysis, and Policy Enforcement.
Proficient in analysis, troubleshooting, and problemsolving.
Experience building data pipelines to handle large volumes of data either leveraging wellknown tools or custommade ones.
Advanced English level.
Desirable
Building Data Lakes with LambdaKappaDelta architecture.
DataOps, particularly creating and managing batch and realtime data ingestion and processing processes.
Handson experience with managing data loads and data quality.
Modernizing enterprise data warehouses and business intelligence environments with opensource tools.
Deploying Big Data solutions to the cloud Cloudera, AWS, GCP, or Azure.
Performing realtime data visualization and time series analysis using opensource and commercial solutions.
How we do make your work and your life easier
100 remote work.
Hardware setup for you to work from home.
Flexible hours make your schedule.
Paid parental leave, vacation holidays.
Diverse and multicultural work environment.
An innovative environment with the structure and resources of a leading multinational.
Excellent compensation well above the market average.
Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.
Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now
Bolsa de trabajo Ecuador ofrecemos puesto de Work From Home Big Data Engineer para el sector de Informática Telecomunicaciones en la empresa BairesDev SA de Guayaquil. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Tiempo Completo.
Benefits of working as a Work From Home Big Data Engineer Ref. 0099E in Guayaquil, Guayaquil (canton):● Excellent benefits● Advancement opportunities● Attractive package● Remote Work opportunity",Bairesdev Sa
147,"
Work From Home Big Data Senior Ref. 0099E - Immediate Start
","We are looking to hire a resourceful Work From Home Big Data Senior Ref. 0099E to join our high calibre team at BairesDev SA in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Work From Home Big Data Senior Ref. 0099E is a fantastic opportunity to develop exceptional skills.If you are strong in planning, leadership and have the right experience for the job, then apply for the position of Work From Home Big Data Senior Ref. 0099E at BairesDev SA today!Who we are
BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1 of the best talents and nurture their professional growth on exciting projects.
Big Data Senior at BairesDev
We are looking for Big Data Seniors to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry
These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc.
What You Will Do
Identify and recommend the most appropriate paradigms and technology choices for batch and realtime ML scenarios.
Write highly efficient Spark jobs to process TB of data.
Collect heuristics and optimize Spark jobs on large Hadoop clusters.
Perform DevOps on AWS to ensure resiliency, availability, security, and HADR.
Partner with a xfunctional team of Architects, Data scientists, Data engineers, Analysts, PMs, and customers.
Write clean, efficient code and deployment artifacts in Java or Python or Chef.
Teach and mentor other engineers on the team.
Heres what we are looking for
6 years of experience working as a developer.
5 years of experience in Big Data.
Proficient with analysis, troubleshooting, and problem solving.
Handson experience with managing data loads and data quality a plus.
Advanced English level.
How we do make your work and your life easier
100 remote work.
Hardware setup for you to work from home.
Flexible hours make your schedule.
Paid parental leave, vacation holidays.
Diverse and multicultural work environment.
An innovative environment with the structure and resources of a leading multinational.
Excellent compensation well above the market average.
Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.
Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now
Bolsa de trabajo Ecuador ofrecemos puesto de Work From Home Big Data Senior para el sector de Informática Telecomunicaciones en la empresa BairesDev SA de Guayaquil. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Tiempo Completo.
Benefits of working as a Work From Home Big Data Senior Ref. 0099E in Guayaquil, Guayaquil (canton):● Excellent benefits● Advancement opportunities● Competitive salary● Remote Work opportunity",Bairesdev Sa
148,"
Work From Home Salesforce Developer Ref. 0102E - Urgent
","We are looking to hire an organized Work From Home Salesforce Developer Ref. 0102E to join our passionate team at BairesDev SA in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Work From Home Salesforce Developer Ref. 0102E is an incredible opportunity to develop productive skills.If you are strong in critical thinking, cooperation and have the right experience for the job, then apply for the position of Work From Home Salesforce Developer Ref. 0102E at BairesDev SA today!Who we are
BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1 of the best talents and nurture their professional growth on exciting projects.
Salesforce Developer at BairesDev
We are looking for Salesforce Senior Developers to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry
These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc.
What You Will Do
Build clean, scalable software on Salesforce.
Do batch apex, unit testing, robust error handling.
Build clean, modular lightning components.
Use git and a sourcedriven development process.
Heres what we are looking for
5 years of experience as Salesforce Developer.
Advanced knowledge of APEX.
Advanced English level.
How we do make your work and your life easier
100 remote work.
Hardware setup for you to work from home.
Flexible hours make your schedule.
Paid parental leave, vacation holidays.
Diverse and multicultural work environment.
An innovative environment with the structure and resources of a leading multinational.
Excellent compensation well above the market average.
Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.
Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now
Bolsa de trabajo Ecuador ofrecemos puesto de Work From Home Salesforce Developer para el sector de Informática Telecomunicaciones en la empresa BairesDev SA de Guayaquil. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Desde Casa.
Company Benefits:● Company offers great benefits ● Advancement opportunities● Competitive salary● Remote Work opportunity",Bairesdev Sa
149,"
Supervisor De Ventas Call Center - Hiring Urgently
","We are on the lookout for a competitive Supervisor De Ventas Call Center to join our passionate team at Calling Services in Guayas.Growing your career as a Full Time Supervisor De Ventas Call Center is an awesome opportunity to develop useful skills.If you are strong in problem-solving, teamwork and have the right mindset for the job, then apply for the position of Supervisor De Ventas Call Center at Calling Services today!Indiferente Se requiere incorporar una persona para el puesto de supervisor de ventas para call center.Perfil:- Cursando o egresado en Adm. de Empresas, Marketing y ventas o afines. De preferencia que cuente con equipo comercial.- Experciencia minimo 1 año liderando equipos en televentas de productos intangibles (de preferencia planes de telefonia movil)- Capacidad de liderazgo-Enfoque en el cumplimiento de metasBeneficios:- Contratación bajo servicios profesionales (con opción a contratación fija)- Excelentes comisiones, bonos e incentivos.Si cumples con el perfil, envianos tu hoja de vida a ******
Benefits of working as a Supervisor De Ventas Call Center in Guayas:● Learning opportunities● Advancement opportunities● Competitive salary",Calling Services
150,"
Asesor De Ventas Call Center - Hiring Immediately
","We are looking for an ambitious Asesor De Ventas Call Center to join our diverse team at Calling Services in Guayas.Growing your career as a Full Time Asesor De Ventas Call Center is an awesome opportunity to develop productive skills.If you are strong in adaptability, leadership and have the right personality for the job, then apply for the position of Asesor De Ventas Call Center at Calling Services today!Indiferente Se requiere personal para agentes de venta para call center.Perfil:- Bachiller o cursando primeros semestres en Adm. de Empresas, Marketing y ventas o afines.- Experciencia minimo 6 meses en ventas en call center de intangibles (de preferencia planes de telefonia movil)- Buen dominio del lenguaje, capacidad de persuacion, gusto por las ventas.-Enfoque en el cumplimiento de metasBeneficios:- Contratación bajo servicios profesionales (con opción a contratación fija)- Excelentes comisiones, bonos e incentivos.Si cumples con el perfil, envianos tu hoja de vida a ******
Benefits of working as a Asesor De Ventas Call Center in Guayas:● Company offers great benefits ● Opportunities to grow● Advantageous package",Calling Services
151,"
Asesores Telefónicos / Sin Experiencia. - Get Hired Fast
","We are on the lookout for a competitive Asesores Telefónicos / Sin Experiencia. to join our incredible team at Bluemovil in Guayas.Growing your career as a Full Time Asesores Telefónicos / Sin Experiencia. is an incredible opportunity to develop useful skills.If you are strong in presentation, project management and have the right personality for the job, then apply for the position of Asesores Telefónicos / Sin Experiencia. at Bluemovil today!¿Qué hace a BLUE MOVIL un sitio ideal para trabajar?Nuestra confianza en los jóvenes sin experiencia laboral, Nos encargamos de capacitarte y en menos de 90 días serás una estrella de nuestro equipo Para la ciudad de Guayaquil Edad de 18 a 22 años Bachilleres o estudiantes universitarios con jornada nocturnaDisponibilidad de 6 horas laborables!Ofrecemos:Sueldo + bonos + afiliación.Excelente ambiente laboral.Capacitación constante.Crecimiento laboral.Postúlate y programa una entrevista enviando tu hoja de vida al correo electrónico: ******CON EL ASUNTO ASESOR SIN EXPERIENCIA. Contacto: 0996436277Analista de Talento Humano Dayana Rodriguez
Benefits of working as a Asesores Telefónicos / Sin Experiencia. in Guayas:● Excellent benefits● Company offers career progression opportunities● Advantageous package",Bluemovil
152,"
Remote Software Operations Manager - Urgent
","We are on the lookout for a driven Remote Software Operations Manager to join our awesome team at Scopic in Teletrabajo.Growing your career as a Full Time Remote Software Operations Manager is a terrific opportunity to develop productive skills.If you are strong in communication, adaptability and have the right mindset for the job, then apply for the position of Remote Software Operations Manager at Scopic today!  Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and an Operations Manager by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. At Scopic, the virtual world is our home so this is a full-time remote position. Only apply if you’re prepared for the zero-hour commute and the thought of collaborating with colleagues from around the globe excites you!The Software Operations Manager will work to prevent and resolve complex situations with clients, monitor higher level project aspects (payments, rates, etc.), and handle escalations. This is an ideal position for motivated individuals with business-oriented mindset and strong client relations skills, looking for a diverse, fast-paced, fully remote environment. The skills and traits we’re looking for: Liaise with Accounting/Finance to assess, maintain, and improve project profitability Monitor project, ensure the delivery dates and important deadlines Manage clients and their expectations, address clients’ concerns, and resolve any escalation Lead the rate increases and other project-related changes Lead or help with creation of non-project management materials (policies, guides, trainings) Help educate their department members on new policies created by other departments as well as ensure the implementation of these policies Successful candidates will be: Highly proficient in the English language Comfortable with self-organization, prioritization, and multi-tasking in a dynamic environment Independently motivated self-starters with strong work ethic Strongly skilled in report tracking Industrious and energetic Detail-oriented but still able to see the big picture Diplomatic but able to provide direct feedback when it is needed Receptive to constructive feedback and interested in growth and self-improvement Able to manage stress with a positive attitude, even in challenging situations Perceptive and understanding, able to communicate clearly and professionally Highly adept at detecting and preventing risks and solving problems Flexible with different task assignments The right candidate will work with a team of skilled professionals from around the world to keep the company running smoothly and efficiently. Required Qualifications: Bachelor’s degree in a business or technical field, Master’s degree preferred High proficiency in the English language Strong knowledge of the SDLC and how software applications are created Demonstrated leadership skills and the aptitude to learn new skills quickly Demonstrated risk and client management expertise Excellent computer skills and proficiency in Microsoft Office Current residence in a European or American time zone (GMT+2–GMT-7)PMP, PRINCE2, and SCRUM certifications are a bonus Experience in full-cycle software project management is a bonus Basic technical knowledge and/or experience in the IT industry is a bonus The secret ingredients that make us special: Your growth is our growth. We invest in your future with paid training and other professional opportunities. We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges. Your location. Your schedule — Pick your time-zone, choose your preferred hours, and work from the place where you feel most at home. Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like. A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do. Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!Your starting salary is negotiable depending on your skills and experience. Both hourly and salary positions are available. Employees are paid monthly via wire transfer. Our values: Scopic is an equal opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family?Apply today to join our growing team of remote professionals from around the world.  Apply for this Remote Software Operations Manager position Benefits of working as a Remote Software Operations Manager in Teletrabajo:● Company offers great benefits ● Advancement opportunities● Attractive package● Remote Work opportunity",Scopic
153,"
Arquitecto Software TIC - Urgent Role
","We are hiring an ambitious Arquitecto Software TIC to join our dynamic team at DIPASO S.A in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Arquitecto Software TIC is an amazing opportunity to develop competitive skills.If you are strong in people management, presentation and have the right experience for the job, then apply for the position of Arquitecto Software TIC at DIPASO S.A today!Asumir la responsabilidad de diseñar y ejecutar soluciones de software según los requerimientos solicitados. Asegurar la calidad del desarrollo. Gestionar requisitos no funcionales: rendimiento, escalabilidad, disponibilidad, auditoría. Facilitar la comunicación y colaboración para las áreas o personal relacionado ( helpdesk, dba, infraestructura, procesos) Diseñar pruebas de caja negra y caja blanca; la arquitectura de cada componente del sistema. Dar seguimiento tras la implementación del desarrollo Crear estándares de desarrollo.Revisar el código y asegurar la calidad del proyecto Conocer patrones de diseño y arquitectura
Ing. En Sistemas/ Analista de Sistemas Lenguajes de programación, foxpro 9, Conocimientos de Lenguaje de Modelado Universal (UML),bases de datos MySQL, PL/SQL, Oracle,Conocimientos de metodologías ágiles de desarrollo (Scrum),Optimización de Scripts de Bases de datos,Diseñar modelos entidad relación acorde al proyecto, Experiencia en arquitectura orientada a servicios (SOA)
Benefits of working as a Arquitecto Software TIC in Guayaquil, Guayaquil (canton):● Learning opportunities● Advancement opportunities● Competitive salary",Dipaso S.A
154,"
Software Engineer - Full-Stack - Urgent
","We are looking for a focused Software Engineer - Full-Stack to join our stellar team at Remote Team Solutions in Teletrabajo.Growing your career as a Full Time Software Engineer - Full-Stack is an awesome opportunity to develop competitive skills.If you are strong in problem-solving, cooperation and have the right experience for the job, then apply for the position of Software Engineer - Full-Stack at Remote Team Solutions today! Title:   Software Engineer – Full-Stack, Matcha  Location: Fully-Remote Available   COMPANY  At 0x Labs, our mission is to create a tokenized world where all value can flow freely. We’re a mission-driven and diverse team composed of world class talent from Coinbase, Google, Meta, Bitso, Citi, Spotify and other top companies. We are a remote-first and fully distributed company, with team members located across all of the continents besides Antarctica. As early pioneers in the space, we’ve made significant technical contributions to various Ethereum standards over the years;  fun fact – our team helped establish the NFT token standard (ERC721).  In joining us, you’ll take part in transforming the way that value is exchanged on a global scale. We’re passionate about open-source software and decentralized technology’s potential to act as an equalizing force in the world, and our technology is deployed by a wide array of projects at the forefront of internet and economic advancement.  Founded in 2017, 0x Labs created and now partakes in the development of 0x protocol: the open-source, global backbone for decentralized exchange. Alongside the core protocol, we also build and maintain products and service offerings including Matcha, the search engine for tokens, and 0x API, the endpoint for multi-chain aggregated liquidity. All of these offerings allow 0x Labs to continue marching towards our vision of building a tokenized world where all value can flow freely at the best prices and with the lowest transaction costs. This way, we can help businesses eliminate the complexity of accessing decentralized markets across all layers of the Web3 exchange stack and have more time to focus on what matters most: their product. 0x currently supports 8 major blockchains: Ethereum, Polygon, Fantom, Avalanche, Arbitrum, Optimism, BNB Chain, and Celo, and the 0x ecosystem has been rapidly expanding. With integrations across all of the top wallets and apps, including MetaMask, Coinbase Wallet and Coinbase NFT, Polygon Wallet, Brave, Matcha, dYdX, Zapper, Zerion, and Shapeshift, 0x is fast becoming the trusted standard for all decentralized exchange.  We’re a remote-first company with core contributors in nearly ten countries and over twice as many cities. Our headquarters is in San Francisco, with an office available for anyone on the team to use at any time. We’ll consider your application regardless of where you call home.   YOUR ROLE AS A FULL STACK ENGINEER 0x protocol is the exchange infrastructure for the internet. It is governed by the 0x DAO community which is, in large part, composed of ZRX token holders. Other stakeholders contribute and participate in the protocol public life: 0x integrators, Market Makers, blockchain analysts, analytics products, investors, and other 0x enthusiasts. The current product suite that these audiences most commonly use includes 0xTracker, ZRX Portal, and the institutional 0x.org website. In joining the Platform team, you’ll own the end-user experience for these interfaces, giving 0x stakeholders the power to govern and benefit from the 0x open protocol. 0xTracker started off as a community-driven effort and rapidly established itself as the most reliable source of truth for 0x network adoption and growth. Is it currently visited by thousands of users daily. We have aggressive goals to make it become the reference data tool for decentralized exchange data. It will become a cornerstone of 0x’s go-to-market as well as we believe that there’s no better way to craft narratives than with data.  ZRX Portal the hub for ZRX token holders was launched in beta in early 2020. Here, community members can create and vote on protocol and Treasury proposals. In April, we launched a 0x Communal Treasury (worth several $M), fully governed by the ZRX holders community via the ZRX Portal. ZRX Portal currently attracts tens of thousands of 0x enthusiasts monthly.  You’ll serve as the primary owner of one or more of these products, joining a nimble but fully-fledged team (Full-Stack engineer, Designer, and Product Manager). You will enjoy ample whitespace to spread your wings and innovate, while getting guidance and support to do so effectively. You’ll also have the opportunity to collaborate with other Front-End engineers at 0x Labs (e.g., the team working on matcha.xyz), with whom you’ll help us push forward the frontiers of web3.   TECH STACK  We don’t care much about your experience with our stack (or any specific stack); we care far more that someone has solid fundamentals, is generally intelligent, has strong learning agility, and is an overall upstanding human. We understand it takes time to ramp, and we’re happy to invest with the right person if necessary.  That said, we’re excited about the rapidly evolving tech we’re building on. It includes:  Next.js  React (we use Hooks heavily!) TypeScript  react-spring and react-use-gesture for high-performance animations and interactions  styled-components  AlchemyAPI and ethers 5.0 for interacting with Ethereum  Vercel for continuous deployment and infrastructure   RESPONSIBILITIES  Create trustworthy user experiences by building, testing, and shipping features that are simple, intuitive, performant, and reliable  Own entire product suite from specification to shipping  Work effectively with a high degree of autonomy, within a collaboratively minded team  Keep abreast of the nascent and rapidly evolving blockchain space, and introduce innovative tools and products  Collaborate cross-functionally with other teams, including engineering (internal and external), design, research, data science, product management, executive leadership, and recruiting  Be a steward and influencer of our early engineering culture   REQUIREMENTS 5 years+ as Senior Software Engineer  Experience with modern JavaScript  Experience with React  Experience with CSS/HTML  Passion for the benefits of decentralization and the 0x mission  Exhibit our core values: do the right thing, consistently ship, and focus on long-term impact  Bachelor’s or equivalent experience   PREFERRED  Proficiency with TypeScript  Experience optimizing front-end performance (we take application performance very seriously)  BENEFITS  Competitive salary and equity with occasional cryptocurrency-based perks  Comprehensive insurance (medical/dental/vision/life/disability) 100% covered for you and dependents 401k, HSA, and FSA for U.S.-based employees  Monthly mobile phone bill, wellness, and pre-tax transportation expense  Covered mental health benefits (included professional therapy sessions) Flexible hours, liberal work-from-home policy, and a supportive remote environment  Lunch reimbursement for all employees across the globe! Stipend for your ideal remote / WFH set-up: laptop, headphones, and any other work gear you may need 12-week paid parental leave  Great office conveniently located in Soma/East Cut, SF  Unlimited vacation: Take time when you need it (and we really mean it) Multiple annual in-person team meet-ups around the globe  0x Labs and its associated entities (0x) are dedicated to fostering diversity, inclusion, and belonging in its teams and workforce, and are proud to be equal opportunity employers. 0x does not make employment or hiring decisions on the basis of race, color, creed, religion, sex, sexual orientation, gender, gender expression or identity, age, disability, veteran status, marital status, pregnancy, citizenship, national origin, or any other basis that is protected by applicable local, state, or federal laws. 0x will also consider qualified applicants with arrest and conviction records in a way that is consistent with San Francisco’s Fair Chance Ordinance and similar local laws. Benefits of working as a Software Engineer - Full-Stack in Teletrabajo:● Learning opportunities● Advancement opportunities● Competitive salary",Remote Team Solutions
155,"
Senior Software Engineer - Hiring Fast
","We are looking for a focused Senior Software Engineer to join our amazing team at Boyden in Teletrabajo.Growing your career as a Full Time Senior Software Engineer is an awesome opportunity to develop excellent skills.If you are strong in presentation, people management and have the right experience for the job, then apply for the position of Senior Software Engineer at Boyden today! Want to join a team of A-players in an exciting, high-growth, entrepreneurial environment?
 LeadSimple is a small team solving big problems in the property management industry. Bootstrapped since 2013, we're passionate about helping small businesses grow sustainably.  Our software provides a powerful foundation for any property management company to take their business to the next level. Thousands of property managers rely on us for their day-to-day operations and we’re only getting started.  We’re looking for seasoned Senior and Lead Ruby on Rails Engineers to join our fully-remote team to help us scale to meet market demand. This is an opportunity to join on the ground floor of a bootstrapped, growing company with a lot of upside.   What we’d want you to do:  Assist with complex migration projects, such as:  Modernizing our back-end stack (we’re currently on Rails 4) Optimizing our API and PostgreSQL database for scale and performance  Suggest and implement scalability improvements  Collaborate with the rest of the team in weekly meetings, chat and code reviews  Develop new full-stack features from start to finish using the  Shape Up method  Write high-quality and maintainable Ruby and Typescript code   Qualifications  Must have 5+ years of experience with Ruby on Rails  Fluent spoken and written English at a professional level.  Working hours must overlap with PST for at least 3 hours.  Familiarity with PostgreSQL query optimization and scaling strategies  Strong analytical and debugging skills  Strong communication skills, able to recommend decisions using data and experience   Nice to have  Prior experience upgrading Ruby on Rails (this would be a big plus!) React, Typescript or GraphQL experience  Elixir experience (we have 1 service using Elixir)  Our Stack  Front-end   Back-end  Ruby on Rails monolith (with 95% test coverage) GraphQL (via  graphql-ruby gem) Sidekiq  PostgreSQL  Redis  Heroku   What it’s like to work here  You’ll have opportunities to work on the entire stack, from databases to user interfaces and everything in between, in a wide variety of product areas.  You’ll own the delivery of high-impact projects that affect real customers, from start to finish, with no bureaucracy, following the  Shape Up method .  You’ll collaborate within a small, highly productive team, reviewing code and helping other engineers with their roadblocks.  You’ll have time to focus. We don’t micromanage, and we do our best to keep distractions (and meetings) to a minimum.  When assigned to on-call duty, you’ll investigate and fix bugs and respond to incidents.  You’ll deploy early and often. We ship to production multiple times per day.  Benefits  Remote-only team, location independent 3rd Friday of every month off 6 US Holidays 3 Weeks Paid Time Off (in addition to the above) Quarterly Two-Week Hackathons  Monthly Healthcare Allowance  Yearly Vacation Allowance $2000 equipment stipend upon hire  Focused and dedicated environment with smart, caring people  Consistent, but flexible working schedule with minimum 3hr Pacific Time Zone overlap  Mission driven, non-political company and values-based culture   Our Interview Process  Fill out our application, located  here  Intro call (30 minutes) Offline work sample test (up to 60 minutes) Work history interview with Hiring Manager (up to 90 minutes) Culture interview with People Operations(30 minutes) Meet the CTO(30 minutes) Meet the CEO (30 minutes) Offer call (15 minutes), followed by a written offer  If you accept the offer, you enter a 90-day trial period, fully paid.  If all goes well in your first 90 days, you convert to a full-time team member!Benefits of working as a Senior Software Engineer in Teletrabajo:● Company offers great benefits ● Company offers career progression opportunities● Advantageous package",Boyden
